person, Was findest du wichtig (Geschmack), Was findest du wichtig (Erfrischung), Was findest du wichtig (Geruch), Was findest du wichtig (Farbe), Was findest du wichtig (Koffeingehalt), Was findest du wichtig (Produktdesign), Was findest du wichtig (Umweltverträglichkeit), Was findest du wichtig (Herstellerfirma), 
1337-Mate (Erfrischung), 1337-Mate (Geruch), 1337-Mate (Farbe), 1337-Mate (Geschmack), 1337-Mate (Vorstellung), 1337-Mate (Sweet), 1337-Mate (Ashtray)
Rio-Mate (Erfrischung), Rio-Mate (Geruch), Rio-Mate (Farbe), Rio-Mate (Geschmack), Rio-Mate (Vorstellung), Rio-Mate (Sweet), Rio-Mate (Ashtray)
fritz-Mate (Erfrischung), fritz-Mate (Geruch), fritz-Mate (Farbe), fritz-Mate (Geschmack), fritz-Mate (Vorstellung), fritz-Mate (Sweet), fritz-Mate (Ashtray)
Club Mate (Erfrischung), Club Mate (Geruch), Club Mate (Farbe), Club Mate (Geschmack), Club Mate (Vorstellung), Club Mate (Sweet), Club Mate (Ashtray)
Bueno Mate (Erfrischung), Bueno Mate (Geruch), Bueno Mate (Farbe), Bueno Mate (Geschmack), Bueno Mate (Vorstellung), Bueno Mate (Sweet), Bueno Mate (Ashtray)
person1,4,4,2,1,1,1,3,1,3,2,1,2,1,8,8 ,2,4,1,4,2,1,2,1,1,3,1,1,1 ,9 ,2,1,4,3,2,3 ,4,3,2,2,1,1,6,9 ,
person2,4,4,2,1,3,1,2,1,1,2,2,1,2,3,5 ,3,4,1,4,2,6,6,1,2,4,1,2,3 ,7 ,3,2,2,3,2,5 ,4,4,1,4,3,4,3,4 ,
person3,4,4,3,1,4,2,3,1,3,4,2,4,3,2,6 ,2,4,4,1,1,2,6, ,4,4,3,3,4 ,9 ,2,1,3,3,2,3 ,6,2,3,3,2,2,7,9 ,
person4,4,4,2,1,2,1,1,1,2,2,3,2,3,5,7 ,1,1,2,1,1,4,9,3,4,4,4,4,3 ,3 ,3,3,3,3,3,3 ,3,2,2,3,3,2,3,7 ,
person5,4,4,3,1,4,2,2,1,1,2,1,1,1,2,8 ,3,4,4,3,2,8,5,1,3,4,1,2,0 ,9 ,2,2,3,2,3,2 ,6,2,3,4,2,2,2,3 ,
person6,4, ,4,4,4,1,1,3,4,4,4,4,3, ,  ,3,3,3,3,3, , ,1,1,1,1,1,0 ,10,4,4,4,4,4,  , ,2,2,1,1,1, ,  ,
person7,4,3,3,1,3,1,2,1,3,1,2,3,2,8,4 ,3,2,4,2,2,8,1,3,1,4,1,1,10,0 ,4,2,3,2,2,5 ,1,2,2,4,2,2,2,7 ,
person8,4,1,1,1,3,1,1,1,1,1,1,1,1,0,10,1,1,1,1,1,1,1,1,1,1,1,1,0 ,10,4,4,4,4,4,10,0,1,1,1,1,1,0,10,
person9,4,4,2,1,2,1,1,2,1,3,3,1,1,6,9 ,2,1,2,2,2,7,1,1,2,2,1,1,3,10 ,3,3,2,3,3,2 ,0,2,2,2,2,2,4,6 ,
